año,mes,tipo_acomodacion,provincia,pais_residencia,total_pernoctaciones,total_viajeros
2017,Marzo,apartamentos,Barcelona,,6.02,
2017,Abril,apartamentos,Barcelona,,5.31,
2017,Mayo,apartamentos,Barcelona,,5.49,
2017,Junio,apartamentos,Barcelona,,5.49,
2017,Julio,apartamentos,Barcelona,,4.3,
2017,Agosto,apartamentos,Barcelona,,4.75,
2017,Septiembre,apartamentos,Barcelona,,5.15,
2017,Octubre,apartamentos,Barcelona,,5.88,
2017,Noviembre,apartamentos,Barcelona,,6.12,
2017,Diciembre,apartamentos,Barcelona,,7.29,
2017,Enero,apartamentos,Girona,,2.88,
2017,Febrero,apartamentos,Girona,,3.2,
2017,Marzo,apartamentos,Girona,,2.51,
2017,Abril,apartamentos,Girona,,3.44,
2017,Mayo,apartamentos,Girona,,4.56,
2017,Junio,apartamentos,Girona,,5.12,
2017,Julio,apartamentos,Girona,,6.95,
2017,Agosto,apartamentos,Girona,,7.93,
2017,Septiembre,apartamentos,Girona,,5.99,
2017,Octubre,apartamentos,Girona,,3.86,
2017,Noviembre,apartamentos,Girona,,2.67,
2017,Diciembre,apartamentos,Girona,,3.12,
2017,Enero,apartamentos,Madrid,,3.88,
2017,Febrero,apartamentos,Madrid,,3.44,
2017,Marzo,apartamentos,Madrid,,3.36,
2017,Abril,apartamentos,Madrid,,3.33,
2017,Mayo,apartamentos,Madrid,,3.29,
2017,Junio,apartamentos,Madrid,,3.04,
2017,Julio,apartamentos,Madrid,,3.61,
2017,Agosto,apartamentos,Madrid,,3.4,
2017,Septiembre,apartamentos,Madrid,,3.4,
2017,Octubre,apartamentos,Madrid,,3.52,
2017,Noviembre,apartamentos,Madrid,,3.52,
2017,Diciembre,apartamentos,Madrid,,3.59,
2017,Enero,apartamentos,Málaga,,5.36,
2017,Febrero,apartamentos,Málaga,,5.47,
2017,Marzo,apartamentos,Málaga,,5.31,
2017,Abril,apartamentos,Málaga,,4.61,
2017,Mayo,apartamentos,Málaga,,4.87,
2017,Junio,apartamentos,Málaga,,5.02,
2017,Julio,apartamentos,Málaga,,5.59,
2017,Agosto,apartamentos,Málaga,,6.0,
2017,Septiembre,apartamentos,Málaga,,5.07,
2017,Octubre,apartamentos,Málaga,,5.23,
2017,Noviembre,apartamentos,Málaga,,5.48,
2017,Diciembre,apartamentos,Málaga,,4.53,
2017,Enero,apartamentos,Sevilla,,2.3,
2017,Febrero,apartamentos,Sevilla,,2.47,
2017,Marzo,apartamentos,Sevilla,,2.62,
2017,Abril,apartamentos,Sevilla,,2.53,
2017,Mayo,apartamentos,Sevilla,,2.41,
2017,Junio,apartamentos,Sevilla,,2.35,
2017,Julio,apartamentos,Sevilla,,2.41,
2017,Agosto,apartamentos,Sevilla,,2.45,
2017,Septiembre,apartamentos,Sevilla,,2.25,
2017,Octubre,apartamentos,Sevilla,,2.3,
2017,Noviembre,apartamentos,Sevilla,,2.45,
2017,Diciembre,apartamentos,Sevilla,,2.38,
2017,Enero,apartamentos,Valencia/Valéncia,,4.31,
2017,Febrero,apartamentos,Valencia/Valéncia,,4.1,
2017,Marzo,apartamentos,Valencia/Valéncia,,3.96,
2017,Abril,apartamentos,Valencia/Valéncia,,4.0,
2017,Mayo,apartamentos,Valencia/Valéncia,,3.93,
2017,Junio,apartamentos,Valencia/Valéncia,,5.32,
2017,Julio,apartamentos,Valencia/Valéncia,,7.94,
2017,Agosto,apartamentos,Valencia/Valéncia,,9.16,
2017,Septiembre,apartamentos,Valencia/Valéncia,,5.63,
2017,Octubre,apartamentos,Valencia/Valéncia,,4.37,
2017,Noviembre,apartamentos,Valencia/Valéncia,,3.65,
2017,Diciembre,apartamentos,Valencia/Valéncia,,3.68,
2018,Enero,apartamentos,"07 Balears, Illes",,8.65,
2018,Febrero,apartamentos,"07 Balears, Illes",,6.87,
2018,Marzo,apartamentos,"07 Balears, Illes",,5.56,
2018,Abril,apartamentos,"07 Balears, Illes",,5.55,
2018,Mayo,apartamentos,"07 Balears, Illes",,5.73,
2018,Junio,apartamentos,"07 Balears, Illes",,6.13,
2018,Julio,apartamentos,"07 Balears, Illes",,6.54,
2018,Agosto,apartamentos,"07 Balears, Illes",,7.18,
2018,Septiembre,apartamentos,"07 Balears, Illes",,6.25,
2018,Octubre,apartamentos,"07 Balears, Illes",,7.37,
2018,Noviembre,apartamentos,"07 Balears, Illes",,6.88,
2018,Diciembre,apartamentos,"07 Balears, Illes",,7.01,
2018,Enero,apartamentos,08 Barcelona,,8.11,
2018,Febrero,apartamentos,08 Barcelona,,7.01,
2018,Marzo,apartamentos,08 Barcelona,,6.37,
2018,Abril,apartamentos,08 Barcelona,,6.22,
2018,Mayo,apartamentos,08 Barcelona,,5.59,
2018,Junio,apartamentos,08 Barcelona,,5.47,
2018,Julio,apartamentos,08 Barcelona,,4.02,
2018,Agosto,apartamentos,08 Barcelona,,4.73,
2018,Septiembre,apartamentos,08 Barcelona,,5.4,
2018,Octubre,apartamentos,08 Barcelona,,6.11,
2018,Noviembre,apartamentos,08 Barcelona,,6.87,
2018,Diciembre,apartamentos,08 Barcelona,,7.35,
2018,Enero,apartamentos,17 Girona,,3.41,
2018,Febrero,apartamentos,17 Girona,,3.17,
2018,Marzo,apartamentos,17 Girona,,2.8,
2018,Abril,apartamentos,17 Girona,,3.67,
2018,Mayo,apartamentos,17 Girona,,4.73,
2018,Junio,apartamentos,17 Girona,,4.83,
2018,Julio,apartamentos,17 Girona,,7.09,
2018,Agosto,apartamentos,17 Girona,,8.28,
2018,Septiembre,apartamentos,17 Girona,,5.78,
2018,Octubre,apartamentos,17 Girona,,4.15,
2018,Noviembre,apartamentos,17 Girona,,2.62,
2018,Diciembre,apartamentos,17 Girona,,2.9,
2018,Enero,apartamentos,28 Madrid,,3.92,
2018,Febrero,apartamentos,28 Madrid,,3.33,
2018,Marzo,apartamentos,28 Madrid,,3.47,
2018,Abril,apartamentos,28 Madrid,,3.45,
2018,Mayo,apartamentos,28 Madrid,,3.43,
2018,Junio,apartamentos,28 Madrid,,3.32,
2018,Julio,apartamentos,28 Madrid,,3.54,
2018,Agosto,apartamentos,28 Madrid,,3.58,
2018,Septiembre,apartamentos,28 Madrid,,3.44,
2018,Octubre,apartamentos,28 Madrid,,3.61,
2018,Noviembre,apartamentos,28 Madrid,,3.49,
2018,Diciembre,apartamentos,28 Madrid,,3.86,
2018,Enero,apartamentos,29 Málaga,,5.44,
2018,Febrero,apartamentos,29 Málaga,,5.65,
2018,Marzo,apartamentos,29 Málaga,,5.24,
2018,Abril,apartamentos,29 Málaga,,4.82,
2018,Mayo,apartamentos,29 Málaga,,4.93,
2018,Junio,apartamentos,29 Málaga,,5.09,
2018,Julio,apartamentos,29 Málaga,,5.55,
2018,Agosto,apartamentos,29 Málaga,,5.83,
2018,Septiembre,apartamentos,29 Málaga,,5.14,
2018,Octubre,apartamentos,29 Málaga,,5.51,
2018,Noviembre,apartamentos,29 Málaga,,5.16,
2018,Diciembre,apartamentos,29 Málaga,,4.33,
2018,Enero,apartamentos,41 Sevilla,,2.54,
2018,Febrero,apartamentos,41 Sevilla,,2.68,
2018,Marzo,apartamentos,41 Sevilla,,2.85,
2018,Abril,apartamentos,41 Sevilla,,2.47,
2018,Mayo,apartamentos,41 Sevilla,,2.32,
2018,Junio,apartamentos,41 Sevilla,,2.31,
2018,Julio,apartamentos,41 Sevilla,,2.54,
2018,Agosto,apartamentos,41 Sevilla,,2.36,
2018,Septiembre,apartamentos,41 Sevilla,,2.36,
2018,Octubre,apartamentos,41 Sevilla,,2.43,
2018,Noviembre,apartamentos,41 Sevilla,,2.42,
