city,neighborhood,criterion,total_listings,current_meeting,current_pct,below_target,avg_below_score,fixable_listings,potential_score,avg_current_min_nights,avg_current_max_nights,rank_in_city
Sevilla,Santa Cruz,Rating ≥ 80,34,33,0.9705882352941176,1,76.0,1,0.41000000000000003,,,4
Sevilla,Feria,Rating ≥ 80,34,34,1.0,0,0.0,0,0.0,,,6
Sevilla,San Lorenzo,Rating ≥ 80,17,17,1.0,0,0.0,0,0.0,,,6
Sevilla,Museo,Rating ≥ 80,18,18,1.0,0,0.0,0,0.0,,,6
Sevilla,Encarnación Regina,Rating ≥ 80,36,35,0.9722222222222222,1,60.0,0,0.4388888888888889,,,2
Sevilla,San Bernardo,Rating ≥ 80,12,12,1.0,0,0.0,0,0.0,,,6
Sevilla,Triana Casco Antiguo,Rating ≥ 80,29,29,1.0,0,0.0,0,0.0,,,6
Sevilla,San Gil,Rating ≥ 80,20,20,1.0,0,0.0,0,0.0,,,6
Sevilla,León Xiii Los Naranjos,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,6
Sevilla,San Pablo A Y B,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,6
Sevilla,Carretera De Carmona María Auxiliadora Fontanal,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,6
Sevilla,Triana Este,Rating ≥ 80,13,13,1.0,0,0.0,0,0.0,,,6
Sevilla,Doctor Barraquer G Renfe Policlínico,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,6
Sevilla,Santa Catalina,Rating ≥ 80,17,16,0.9411764705882353,1,73.0,0,0.39397058823529413,,,5
Sevilla,Colores Entreparques,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,6
Sevilla,Pio Xii,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,6
Sevilla,La Florida,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,6
Sevilla,Triana Oeste,Rating ≥ 80,7,7,1.0,0,0.0,0,0.0,,,6
Sevilla,Nervión,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,6
Sevilla,Tiro De Línea Santa Genoveva,Rating ≥ 80,3,3,1.0,0,0.0,0,0.0,,,6
Sevilla,El Porvenir,Rating ≥ 80,4,4,1.0,0,0.0,0,0.0,,,6
Sevilla,Sector Sur La Palmera Reina Mercedes,Rating ≥ 80,5,5,1.0,0,0.0,0,0.0,,,6
Barcelona,L'Antiga Esquerra De L'Eixample,Rating ≥ 80,163,157,0.9631901840490797,6,71.66666666666667,2,0.41101738241308794,,,18
Barcelona,El Camp De L'Arpa Del Clot,Rating ≥ 80,49,45,0.9183673469387755,4,73.5,2,0.3999234693877551,,,25
