Provincias;País de residencia;Meses;Total
Balears, Illes;Países Bajos;Noviembre;57
Balears, Illes;Países Bajos;Diciembre;71
Balears, Illes;Polonia;Enero;..
Balears, Illes;Polonia;Febrero;..
Balears, Illes;Polonia;Marzo;254
Balears, Illes;Polonia;Abril;206
Balears, Illes;Polonia;Mayo;895
Balears, Illes;Polonia;Junio;1.693
Balears, Illes;Polonia;Julio;1.492
Balears, Illes;Polonia;Agosto;1.490
Balears, Illes;Polonia;Septiembre;1.622
Balears, Illes;Polonia;Octubre;409
Balears, Illes;Polonia;Noviembre;36
Balears, Illes;Polonia;Diciembre;61
Balears, Illes;Portugal;Enero;..
Balears, Illes;Portugal;Febrero;..
Balears, Illes;Portugal;Marzo;68
Balears, Illes;Portugal;Abril;116
Balears, Illes;Portugal;Mayo;1.181
Balears, Illes;Portugal;Junio;2.383
Balears, Illes;Portugal;Julio;590
Balears, Illes;Portugal;Agosto;1.086
Balears, Illes;Portugal;Septiembre;768
Balears, Illes;Portugal;Octubre;100
Balears, Illes;Portugal;Noviembre;24
Balears, Illes;Portugal;Diciembre;25
Balears, Illes;Reino Unido;Enero;238
Balears, Illes;Reino Unido;Febrero;455
Balears, Illes;Reino Unido;Marzo;4.980
Balears, Illes;Reino Unido;Abril;9.769
Balears, Illes;Reino Unido;Mayo;65.504
Balears, Illes;Reino Unido;Junio;96.664
Balears, Illes;Reino Unido;Julio;101.746
Balears, Illes;Reino Unido;Agosto;120.658
Balears, Illes;Reino Unido;Septiembre;97.520
Balears, Illes;Reino Unido;Octubre;42.287
Balears, Illes;Reino Unido;Noviembre;725
Balears, Illes;Reino Unido;Diciembre;434
Balears, Illes;Republica Checa;Enero;..
Balears, Illes;Republica Checa;Febrero;..
Balears, Illes;Republica Checa;Marzo;32
Balears, Illes;Republica Checa;Abril;204
Balears, Illes;Republica Checa;Mayo;194
Balears, Illes;Republica Checa;Junio;295
Balears, Illes;Republica Checa;Julio;260
Balears, Illes;Republica Checa;Agosto;174
Balears, Illes;Republica Checa;Septiembre;385
Balears, Illes;Republica Checa;Octubre;52
Balears, Illes;Republica Checa;Noviembre;54
Balears, Illes;Republica Checa;Diciembre;68
Balears, Illes;Suecia;Enero;14
Balears, Illes;Suecia;Febrero;64
Balears, Illes;Suecia;Marzo;257
Balears, Illes;Suecia;Abril;1.541
Balears, Illes;Suecia;Mayo;7.904
Balears, Illes;Suecia;Junio;8.207
Balears, Illes;Suecia;Julio;9.525
Balears, Illes;Suecia;Agosto;8.197
Balears, Illes;Suecia;Septiembre;7.454
Balears, Illes;Suecia;Octubre;1.697
Balears, Illes;Suecia;Noviembre;124
Balears, Illes;Suecia;Diciembre;95
Balears, Illes;Resto de la UE;Enero;..
Balears, Illes;Resto de la UE;Febrero;36
Balears, Illes;Resto de la UE;Marzo;143
Balears, Illes;Resto de la UE;Abril;343
Balears, Illes;Resto de la UE;Mayo;6.061
Balears, Illes;Resto de la UE;Junio;1.767
Balears, Illes;Resto de la UE;Julio;1.720
Balears, Illes;Resto de la UE;Agosto;1.550
Balears, Illes;Resto de la UE;Septiembre;1.867
Balears, Illes;Resto de la UE;Octubre;886
Balears, Illes;Resto de la UE;Noviembre;134
Balears, Illes;Resto de la UE;Diciembre;..
Balears, Illes;Noruega;Enero;33
Balears, Illes;Noruega;Febrero;21
Balears, Illes;Noruega;Marzo;88
Balears, Illes;Noruega;Abril;525
Balears, Illes;Noruega;Mayo;2.479
Balears, Illes;Noruega;Junio;4.422
Balears, Illes;Noruega;Julio;7.008
Balears, Illes;Noruega;Agosto;3.722
Balears, Illes;Noruega;Septiembre;3.065
Balears, Illes;Noruega;Octubre;1.276
Balears, Illes;Noruega;Noviembre;48
Balears, Illes;Noruega;Diciembre;54
Balears, Illes;Rusia;Enero;..
Balears, Illes;Rusia;Febrero;..
Balears, Illes;Rusia;Marzo;25
Balears, Illes;Rusia;Abril;42
Balears, Illes;Rusia;Mayo;731
Balears, Illes;Rusia;Junio;971
Balears, Illes;Rusia;Julio;1.141
Balears, Illes;Rusia;Agosto;1.390
Balears, Illes;Rusia;Septiembre;1.575
Balears, Illes;Rusia;Octubre;588
Balears, Illes;Rusia;Noviembre;50
Balears, Illes;Rusia;Diciembre;47
Balears, Illes;Suiza;Enero;103
Balears, Illes;Suiza;Febrero;110
Balears, Illes;Suiza;Marzo;258
Balears, Illes;Suiza;Abril;566
Balears, Illes;Suiza;Mayo;1.631
Balears, Illes;Suiza;Junio;1.833
Balears, Illes;Suiza;Julio;3.182
Balears, Illes;Suiza;Agosto;2.698
Balears, Illes;Suiza;Septiembre;1.724
Balears, Illes;Suiza;Octubre;660
Balears, Illes;Suiza;Noviembre;106
Balears, Illes;Suiza;Diciembre;92
Balears, Illes;Resto de Europa;Enero;..
Balears, Illes;Resto de Europa;Febrero;..
Balears, Illes;Resto de Europa;Marzo;219
Balears, Illes;Resto de Europa;Abril;245
Balears, Illes;Resto de Europa;Mayo;623
Balears, Illes;Resto de Europa;Junio;919
Balears, Illes;Resto de Europa;Julio;752
Balears, Illes;Resto de Europa;Agosto;1.165
Balears, Illes;Resto de Europa;Septiembre;950
Balears, Illes;Resto de Europa;Octubre;348
Balears, Illes;Resto de Europa;Noviembre;44
Balears, Illes;Resto de Europa;Diciembre;90
Balears, Illes;Estados Unidos;Enero;..
Balears, Illes;Estados Unidos;Febrero;55
Balears, Illes;Estados Unidos;Marzo;319
