Provincias;País de residencia;Meses;Total
07 Balears, Illes;Republica Checa;Agosto;922
07 Balears, Illes;Republica Checa;Septiembre;1.028
07 Balears, Illes;Republica Checa;Octubre;675
07 Balears, Illes;Republica Checa;Noviembre;57
07 Balears, Illes;Republica Checa;Diciembre;43
07 Balears, Illes;Suecia;Enero;16
07 Balears, Illes;Suecia;Febrero;..
07 Balears, Illes;Suecia;Marzo;47
07 Balears, Illes;Suecia;Abril;12
07 Balears, Illes;Suecia;Mayo;101
07 Balears, Illes;Suecia;Junio;666
07 Balears, Illes;Suecia;Julio;3.693
07 Balears, Illes;Suecia;Agosto;2.219
07 Balears, Illes;Suecia;Septiembre;1.912
07 Balears, Illes;Suecia;Octubre;1.087
07 Balears, Illes;Suecia;Noviembre;36
07 Balears, Illes;Suecia;Diciembre;26
07 Balears, Illes;Resto de la UE;Enero;10
07 Balears, Illes;Resto de la UE;Febrero;..
07 Balears, Illes;Resto de la UE;Marzo;30
07 Balears, Illes;Resto de la UE;Abril;90
07 Balears, Illes;Resto de la UE;Mayo;256
07 Balears, Illes;Resto de la UE;Junio;1.110
07 Balears, Illes;Resto de la UE;Julio;2.550
07 Balears, Illes;Resto de la UE;Agosto;1.710
07 Balears, Illes;Resto de la UE;Septiembre;2.508
07 Balears, Illes;Resto de la UE;Octubre;885
07 Balears, Illes;Resto de la UE;Noviembre;52
07 Balears, Illes;Resto de la UE;Diciembre;30
07 Balears, Illes;Noruega;Enero;..
07 Balears, Illes;Noruega;Febrero;..
07 Balears, Illes;Noruega;Marzo;..
07 Balears, Illes;Noruega;Abril;..
07 Balears, Illes;Noruega;Mayo;29
07 Balears, Illes;Noruega;Junio;35
07 Balears, Illes;Noruega;Julio;420
07 Balears, Illes;Noruega;Agosto;59
07 Balears, Illes;Noruega;Septiembre;243
07 Balears, Illes;Noruega;Octubre;551
07 Balears, Illes;Noruega;Noviembre;28
07 Balears, Illes;Noruega;Diciembre;17
07 Balears, Illes;Reino Unido;Enero;22
07 Balears, Illes;Reino Unido;Febrero;16
