Provincias;País de residencia;Meses;Total
08 Barcelona;Grecia;Julio;189
08 Barcelona;Grecia;Agosto;448
08 Barcelona;Grecia;Septiembre;287
08 Barcelona;Grecia;Octubre;580
08 Barcelona;Grecia;Noviembre;199
08 Barcelona;Grecia;Diciembre;..
08 Barcelona;Irlanda;Enero;488
08 Barcelona;Irlanda;Febrero;613
08 Barcelona;Irlanda;Marzo;338
08 Barcelona;Irlanda;Abril;806
08 Barcelona;Irlanda;Mayo;761
08 Barcelona;Irlanda;Junio;1.015
08 Barcelona;Irlanda;Julio;1.448
08 Barcelona;Irlanda;Agosto;1.140
08 Barcelona;Irlanda;Septiembre;1.186
08 Barcelona;Irlanda;Octubre;624
08 Barcelona;Irlanda;Noviembre;281
08 Barcelona;Irlanda;Diciembre;129
08 Barcelona;Italia;Enero;6.850
08 Barcelona;Italia;Febrero;6.007
08 Barcelona;Italia;Marzo;7.300
08 Barcelona;Italia;Abril;7.455
08 Barcelona;Italia;Mayo;7.199
08 Barcelona;Italia;Junio;8.816
08 Barcelona;Italia;Julio;6.348
08 Barcelona;Italia;Agosto;12.949
08 Barcelona;Italia;Septiembre;8.575
08 Barcelona;Italia;Octubre;6.287
08 Barcelona;Italia;Noviembre;6.913
08 Barcelona;Italia;Diciembre;6.763
08 Barcelona;Luxemburgo;Enero;..
08 Barcelona;Luxemburgo;Febrero;..
08 Barcelona;Luxemburgo;Marzo;115
08 Barcelona;Luxemburgo;Abril;38
08 Barcelona;Luxemburgo;Mayo;89
08 Barcelona;Luxemburgo;Junio;165
08 Barcelona;Luxemburgo;Julio;586
08 Barcelona;Luxemburgo;Agosto;28
08 Barcelona;Luxemburgo;Septiembre;62
08 Barcelona;Luxemburgo;Octubre;357
08 Barcelona;Luxemburgo;Noviembre;32
08 Barcelona;Luxemburgo;Diciembre;..
08 Barcelona;Países Bajos;Enero;1.360
08 Barcelona;Países Bajos;Febrero;1.229
08 Barcelona;Países Bajos;Marzo;1.263
08 Barcelona;Países Bajos;Abril;2.343
08 Barcelona;Países Bajos;Mayo;3.382
08 Barcelona;Países Bajos;Junio;3.219
08 Barcelona;Países Bajos;Julio;2.991
08 Barcelona;Países Bajos;Agosto;2.529
08 Barcelona;Países Bajos;Septiembre;2.124
08 Barcelona;Países Bajos;Octubre;2.770
08 Barcelona;Países Bajos;Noviembre;1.188
08 Barcelona;Países Bajos;Diciembre;1.246
08 Barcelona;Polonia;Enero;1.290
08 Barcelona;Polonia;Febrero;2.701
08 Barcelona;Polonia;Marzo;1.146
08 Barcelona;Polonia;Abril;1.653
08 Barcelona;Polonia;Mayo;1.813
08 Barcelona;Polonia;Junio;1.419
08 Barcelona;Polonia;Julio;1.395
08 Barcelona;Polonia;Agosto;1.925
08 Barcelona;Polonia;Septiembre;1.690
08 Barcelona;Polonia;Octubre;1.477
08 Barcelona;Polonia;Noviembre;1.061
08 Barcelona;Polonia;Diciembre;768
08 Barcelona;Portugal;Enero;1.059
08 Barcelona;Portugal;Febrero;941
08 Barcelona;Portugal;Marzo;1.684
08 Barcelona;Portugal;Abril;1.953
08 Barcelona;Portugal;Mayo;2.004
08 Barcelona;Portugal;Junio;2.723
08 Barcelona;Portugal;Julio;1.307
08 Barcelona;Portugal;Agosto;1.751
08 Barcelona;Portugal;Septiembre;3.184
08 Barcelona;Portugal;Octubre;2.341
08 Barcelona;Portugal;Noviembre;1.782
08 Barcelona;Portugal;Diciembre;2.237
08 Barcelona;Reino Unido;Enero;5.189
08 Barcelona;Reino Unido;Febrero;5.803
08 Barcelona;Reino Unido;Marzo;7.458
08 Barcelona;Reino Unido;Abril;9.133
08 Barcelona;Reino Unido;Mayo;10.917
08 Barcelona;Reino Unido;Junio;11.968
08 Barcelona;Reino Unido;Julio;13.542
08 Barcelona;Reino Unido;Agosto;13.833
08 Barcelona;Reino Unido;Septiembre;8.499
08 Barcelona;Reino Unido;Octubre;8.292
08 Barcelona;Reino Unido;Noviembre;5.197
08 Barcelona;Reino Unido;Diciembre;3.829
08 Barcelona;Republica Checa;Enero;334
08 Barcelona;Republica Checa;Febrero;346
08 Barcelona;Republica Checa;Marzo;352
08 Barcelona;Republica Checa;Abril;248
08 Barcelona;Republica Checa;Mayo;410
08 Barcelona;Republica Checa;Junio;475
08 Barcelona;Republica Checa;Julio;368
08 Barcelona;Republica Checa;Agosto;265
08 Barcelona;Republica Checa;Septiembre;383
08 Barcelona;Republica Checa;Octubre;967
08 Barcelona;Republica Checa;Noviembre;385
08 Barcelona;Republica Checa;Diciembre;326
08 Barcelona;Suecia;Enero;1.073
08 Barcelona;Suecia;Febrero;859
08 Barcelona;Suecia;Marzo;857
08 Barcelona;Suecia;Abril;1.414
08 Barcelona;Suecia;Mayo;1.438
08 Barcelona;Suecia;Junio;1.852
08 Barcelona;Suecia;Julio;2.116
08 Barcelona;Suecia;Agosto;1.033
08 Barcelona;Suecia;Septiembre;1.336
08 Barcelona;Suecia;Octubre;1.460
08 Barcelona;Suecia;Noviembre;1.091
08 Barcelona;Suecia;Diciembre;496
08 Barcelona;Resto de la UE;Enero;1.660
08 Barcelona;Resto de la UE;Febrero;1.757
08 Barcelona;Resto de la UE;Marzo;3.226
